Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
ada_score,1748,30,481,39,0.05870841487279843,0.9781757134862898,0.7737162750217581,0.43478260869565216,0.10344827586206896,0.43478260869565216,0.7842081650964559,0.08987371033847541,7.815576549022338
AF,398,30,481,1389,0.05870841487279843,0.22271964185786233,0.18624891209747607,0.021141649048625793,0.0310880829015544,0.021141649048625793,0.4527872582480091,-0.6148332516883597,28.106450173765673
BLOSUM62,684,182,329,1103,0.3561643835616438,0.38276440962506997,0.37684943429068757,0.14163424124513618,0.20267260579064586,0.14163424124513618,0.6752221125370188,-0.21866305755266102,21.52324184224439
codon_degeneracy,1607,60,451,180,0.11741682974559686,0.8992725237828764,0.7254134029590948,0.25,0.15978695073235685,0.25,0.7808551992225462,0.022692583105864004,9.483947707887763
Eigen-pred_coding,1439,412,99,348,0.8062622309197651,0.8052602126468943,0.8054830287206266,0.5421052631578948,0.6483084185680567,0.5421052631578948,0.9356306892067621,0.5405055568351542,6.718499263895032
GERP++_RS,1198,342,169,589,0.6692759295499021,0.6703973139339675,0.6701479547432551,0.3673469387755102,0.47434119278779474,0.3673469387755102,0.8763716166788588,0.28772325632174556,11.392890979211785
integrated_fitCons_score,997,255,256,790,0.49902152641878667,0.5579182988248461,0.5448215839860748,0.24401913875598086,0.3277634961439589,0.24401913875598086,0.7956903431763767,0.047550509584479046,15.721580413858327
LoFtool,634,181,330,1153,0.3542074363992172,0.35478455512031337,0.3546562228024369,0.13568215892053972,0.19620596205962057,0.13568215892053972,0.6576763485477178,-0.24522301933361426,22.28978560900329
phyloP100way_vertebrate,1323,379,132,464,0.7416829745596869,0.7403469501958589,0.7406440382941688,0.44958481613285883,0.5598227474150665,0.44958481613285883,0.9092783505154639,0.41591199215342173,8.95799901852671
SIFT,432,107,404,1355,0.20939334637964774,0.2417459429210968,0.23455178416013925,0.073187414500684,0.10846426761277243,0.073187414500684,0.5167464114832536,-0.47441459895768445,26.438116245938122
Consequence_5_prime_UTR_variant,1786,0,511,1,0.0,0.9994404029099049,0.7771975630983464,0.0,0.0,0.0,0.7775359164127122,-0.011157520057168902,7.695323896341036
Consequence_intron_variant,1776,0,511,11,0.0,0.9938444320089536,0.7728459530026109,0.0,0.0,0.0,0.7765631832094447,-0.03708612297689328,7.845626663931728
Consequence_missense_variant,14,497,14,1773,0.9726027397260274,0.00783435926133184,0.22236727589208008,0.21894273127753303,0.3574253865516001,0.21894273127753303,0.5,-0.07415049242520778,26.8590996971058
Consequence_non_coding_transcript_exon_variant,1786,0,511,1,0.0,0.9994404029099049,0.7771975630983464,0.0,0.0,0.0,0.7775359164127122,-0.011157520057168902,7.695323896341036
Consequence_start_lost,1786,13,498,1,0.025440313111545987,0.9994404029099049,0.7828546562228025,0.9285714285714286,0.049523809523809526,0.9285714285714286,0.7819614711033275,0.13296077354131797,7.499934821870262
Consequence_stop_gained,1787,1,510,0,0.0019569471624266144,1.0,0.7780678851174935,1.0,0.00390625,1.0,0.7779712668698302,0.039018568184267764,7.665263690776523
Consequence_3_prime_UTR_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_TF_binding_site_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_downstream_gene_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_frameshift_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_inframe_deletion,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_inframe_insertion,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_intergenic_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_protein_altering_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_regulatory_region_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_splice_acceptor_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_splice_donor_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_splice_region_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_stop_lost,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_stop_retained_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_synonymous_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
Consequence_upstream_gene_variant,1787,0,511,0,0.0,1.0,0.77763272410792,0.0,0.0,,0.77763272410792,0.0,7.680293619581967
RandomForest,1424,499,12,363,0.9765166340508806,0.7968662562954673,0.8368146214099217,0.5788863109048724,0.7268754552075746,0.5788863109048724,0.9916434540389972,0.6642574490669354,5.636349609207428
SupportVectorMachine,1470,486,25,317,0.9510763209393346,0.8226077224398433,0.8511749347258486,0.6052303860523038,0.7397260273972603,0.6052303860523038,0.9832775919732442,0.6747734671722877,5.140345952761021
MultilayerPerceptron,1683,437,74,104,0.8551859099804305,0.9418019026301063,0.9225413402959095,0.8077634011090573,0.8307984790874525,0.8077634011090573,0.9578827546955037,0.7811598139614859,2.675363514546059
