Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
APPRIS,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
BLOSUM62,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
CADD_PHRED,18,31,12,8,0.7209302325581395,0.6923076923076923,0.7101449275362319,0.7948717948717948,0.7560975609756098,0.7948717948717948,0.6,0.40395049337866507,10.011332241705148
CADD_RAW,20,31,12,6,0.7209302325581395,0.7692307692307693,0.7391304347826086,0.8378378378378378,0.7749999999999999,0.8378378378378378,0.625,0.4763035358470553,9.010185111492369
CADD_phred,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
CLINSIG,26,43,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16
DANN_score,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
Eigen-pred_coding,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
FATHMM_score,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
GERP++_RS,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
LINSIGHT,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
LRT_score,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
LoFtool,15,25,18,11,0.5813953488372093,0.5769230769230769,0.5797101449275363,0.6944444444444444,0.6329113924050633,0.6944444444444444,0.45454545454545453,0.15358335281619837,14.516424797451332
M-CAP_score,26,0,43,0,0.0,1.0,0.37681159420289856,0.0,0.0,,0.37681159420289856,0.0,21.524164999726942
