Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
APPRIS,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
BLOSUM62,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
CADD_PHRED,365,39,6,51,0.8666666666666667,0.8774038461538461,0.8763557483731019,0.43333333333333335,0.5777777777777778,0.43333333333333335,0.9838274932614556,0.5571329017146749,4.270609618175378
CADD_RAW,365,39,6,51,0.8666666666666667,0.8774038461538461,0.8763557483731019,0.43333333333333335,0.5777777777777778,0.43333333333333335,0.9838274932614556,0.5571329017146749,4.270609618175378
CADD_phred,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
CLINSIG,416,45,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626413e-16
DANN_score,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
Eigen-pred_coding,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
FATHMM_score,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
GERP++_RS,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
LINSIGHT,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
LRT_score,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
LoFtool,167,16,29,249,0.35555555555555557,0.4014423076923077,0.3969631236442516,0.06037735849056604,0.10322580645161292,0.06037735849056604,0.8520408163265306,-0.14588547103840607,20.828587717017978
M-CAP_score,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
MANE,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
MPC_score,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
MVP_score,416,0,45,0,0.0,1.0,0.9023861171366594,0.0,0.0,,0.9023861171366594,0.0,3.371464073255924
MaxEntScan_alt,120,13,32,296,0.28888888888888886,0.28846153846153844,0.2885032537960954,0.042071197411003236,0.07344632768361582,0.042071197411003236,0.7894736842105263,-0.26682856629921337,24.574740430303777
MaxEntScan_diff,358,38,7,58,0.8444444444444444,0.8605769230769231,0.8590021691973969,0.3958333333333333,0.5390070921985816,0.3958333333333333,0.9808219178082191,0.515315437614595,4.86999315036908
