Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
APPRIS,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
BLOSUM62,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
CADD_PHRED,216,7,4,122,0.6363636363636364,0.6390532544378699,0.6389684813753582,0.05426356589147287,0.1,0.05426356589147287,0.9818181818181818,0.0996871243886464,12.469866408725588
CADD_RAW,216,7,4,122,0.6363636363636364,0.6390532544378699,0.6389684813753582,0.05426356589147287,0.1,0.05426356589147287,0.9818181818181818,0.0996871243886464,12.469866408725588
CADD_phred,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
CLINSIG,338,11,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626413e-16
DANN_score,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
Eigen-pred_coding,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
FATHMM_score,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
GERP++_RS,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
LINSIGHT,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
LRT_score,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
LoFtool,119,4,7,219,0.36363636363636365,0.3520710059171598,0.3524355300859599,0.017937219730941704,0.034188034188034185,0.017937219730941704,0.9444444444444444,-0.10341477478870414,22.36658618076512
M-CAP_score,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
MANE,338,0,11,0,0.0,1.0,0.9684813753581661,0.0,0.0,,0.9684813753581661,0.0,1.0886147287794208
