Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
APPRIS,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
BLOSUM62,601,149,272,986,0.35391923990498814,0.37870195337114054,0.37350597609561753,0.13127753303964756,0.1915167095115681,0.13127753303964756,0.6884306987399771,-0.21955909876136026,21.638729635390344
CADD_PHRED,1276,339,82,311,0.8052256532066508,0.8040327662255828,0.8042828685258964,0.5215384615384615,0.6330532212885154,0.5215384615384615,0.9396170839469808,0.530059335126616,6.759954082669666
CADD_RAW,1279,339,82,308,0.8052256532066508,0.8059231253938248,0.8057768924302788,0.5239567233384853,0.6348314606741572,0.5239567233384853,0.9397501836884644,0.5323475461182522,6.708351130489874
CADD_phred,1257,336,85,330,0.7980997624703088,0.7920604914933838,0.7933266932270916,0.5045045045045045,0.6182152713891444,0.5045045045045045,0.936661698956781,0.510253621912584,7.138374537370468
CLINSIG,1587,421,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626413e-16
DANN_score,1123,299,122,464,0.7102137767220903,0.7076244486452425,0.7081673306772909,0.3918741808650065,0.5050675675675675,0.3918741808650065,0.9020080321285141,0.3504214924119769,10.079728078000633
Eigen-pred_coding,1276,338,83,311,0.8028503562945368,0.8040327662255828,0.8037848605577689,0.5208012326656395,0.6317757009345795,0.5208012326656395,0.9389256806475349,0.5282049835603936,6.777154668523705
FATHMM_score,458,121,300,1129,0.28741092636579574,0.2885948330182735,0.28834661354581675,0.0968,0.1448234590065829,0.0968,0.604221635883905,-0.35604087469558454,24.58008675987353
GERP++_RS,1049,279,142,538,0.66270783847981,0.6609955891619408,0.6613545816733067,0.34149326805385555,0.4507269789983845,0.34149326805385555,0.8807724601175483,0.26823157542760145,11.696612615516289
LINSIGHT,1586,0,421,1,0.0,0.9993698802772527,0.7898406374501992,0.0,0.0,0.0,0.7902341803687095,-0.01149685087786797,7.258647628610425
LRT_score,450,119,302,1137,0.2826603325415677,0.2835538752362949,0.28336653386454186,0.09474522292993631,0.1419200954084675,0.09474522292993631,0.598404255319149,-0.36483886398175397,24.752095804061053
LoFtool,595,147,274,992,0.3491686460807601,0.3749212350346566,0.3695219123505976,0.12906057945566285,0.18846153846153846,0.12906057945566285,0.6846950517836594,-0.22668636025650676,21.776336711458004
M-CAP_score,1411,374,47,176,0.8883610451306413,0.8890989287964713,0.8889442231075697,0.68,0.7703398558187435,0.68,0.967764060356653,0.7096552891903251,3.8358007296876484
MANE,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
MPC_score,902,239,182,685,0.5676959619952494,0.5683679899180845,0.5682270916334662,0.25865800865800864,0.3553903345724907,0.25865800865800864,0.8321033210332104,0.1111276077250665,14.913180706487672
MVP_score,1344,357,64,243,0.8479809976247031,0.8468809073724007,0.8471115537848606,0.595,0.6993143976493632,0.595,0.9545454545454546,0.6179467626162903,5.280676621221673
MaxEntScan_alt,1545,25,396,42,0.05938242280285035,0.9735349716446124,0.7818725099601593,0.373134328358209,0.10245901639344263,0.373134328358209,0.7959814528593508,0.0746113320992813,7.533873328716607
MaxEntScan_diff,1559,21,400,28,0.0498812351543943,0.982356647763075,0.7868525896414342,0.42857142857142855,0.08936170212765958,0.42857142857142855,0.7958141909137315,0.08505126294962588,7.361861895293733
MaxEntScan_ref,1545,26,395,42,0.06175771971496437,0.9735349716446124,0.7823705179282868,0.38235294117647056,0.10633946830265849,0.38235294117647056,0.7963917525773195,0.07942531906649543,7.516672742862567
MetaLR_score,1352,359,62,235,0.8527315914489311,0.8519218651543793,0.8520916334661355,0.6043771043771043,0.7073891625615764,0.6043771043771043,0.9561527581329562,0.6284737903422007,5.108667577034149
MetaSVM_score,1382,366,55,205,0.8693586698337292,0.870825456836799,0.8705179282868526,0.6409807355516638,0.7379032258064516,0.6409807355516638,0.9617258176757133,0.6679175276478454,4.472233954257953
MutPred_score,1397,338,83,190,0.8028503562945368,0.8802772526780088,0.8640438247011952,0.6401515151515151,0.7123287671232876,0.6401515151515151,0.9439189189189189,0.6316602244071511,4.695835597272088
MutationTaster_score,987,304,117,600,0.7220902612826603,0.6219281663516069,0.6429282868525896,0.336283185840708,0.4588679245283019,0.336283185840708,0.8940217391304348,0.2814767098091783,12.333058980881015
MutationAssessor_score,1064,281,140,523,0.667458432304038,0.6704473850031506,0.6698207171314741,0.34950248756218905,0.4587755102040816,0.34950248756218905,0.8837209302325582,0.2807268238076119,11.404196682909252
PROVEAN_score,400,106,315,1187,0.2517814726840855,0.2520478890989288,0.25199203187250996,0.08197989172467131,0.1236872812135356,0.08197989172467131,0.5594405594405595,-0.4218016638147676,25.8357526231601
PolyPhen,1251,332,89,336,0.7885985748218527,0.7882797731568998,0.7883466135458167,0.49700598802395207,0.6097337006427914,0.49700598802395207,0.9335820895522388,0.4983943607741764,7.310382785146209
REVEL_score,1427,379,42,160,0.9002375296912114,0.8991808443604284,0.899402390438247,0.7031539888682746,0.7895833333333333,0.7031539888682746,0.9714091218515998,0.734341981073463,3.4745820554585616
SIFT,449,92,329,1138,0.21852731591448932,0.2829237555135476,0.2694223107569721,0.07479674796747968,0.11144760751059965,0.07479674796747968,0.577120822622108,-0.4165766702988623,25.233712606180042
TSL,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
VEST4_score,1351,358,63,236,0.850356294536817,0.851291745431632,0.8510956175298805,0.6026936026936027,0.7054187192118226,0.6026936026936027,0.9554455445544554,0.6257932875129467,5.143069146948118
ada_score,1550,23,398,37,0.05463182897862233,0.9766855702583491,0.7833665338645418,0.38333333333333336,0.09563409563409564,0.38333333333333336,0.795687885010267,0.07487642463923849,7.48226958012503
Consequence_3_prime_UTR_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_5_prime_UTR_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_TF_binding_site_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_downstream_gene_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_frameshift_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_inframe_deletion,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_inframe_insertion,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_intergenic_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_intron_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_missense_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_non_coding_transcript_exon_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_protein_altering_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_regulatory_region_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_splice_acceptor_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_splice_donor_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_splice_region_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_start_lost,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_stop_gained,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_stop_lost,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_stop_retained_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_synonymous_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
Consequence_upstream_gene_variant,1587,0,421,0,0.0,1.0,0.7903386454183267,0.0,0.0,,0.7903386454183267,0.0,7.241446644550495
RandomForest,1296,410,11,291,0.9738717339667459,0.8166351606805293,0.849601593625498,0.5848787446504993,0.730837789661319,0.5848787446504993,0.991583779648049,0.6750537756088583,5.19469280583427
SupportVectorMachine,1335,399,22,252,0.9477434679334917,0.8412098298676749,0.8635458167330677,0.6129032258064516,0.7444029850746269,0.6129032258064516,0.9837877671333825,0.6861204898909045,4.713060871891403
MultilayerPerceptron,1403,395,26,184,0.9382422802850356,0.8840579710144928,0.8954183266932271,0.6822107081174439,0.79,0.6822107081174439,0.9818054583624912,0.738932108223347,3.6121962992322714
