Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
APPRIS,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
BLOSUM62,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
CADD_PHRED,262,28,5,45,0.8484848484848485,0.8534201954397395,0.8529411764705882,0.3835616438356164,0.5283018867924528,0.3835616438356164,0.9812734082397003,0.506043044860963,5.079337651852627
CADD_RAW,262,28,5,45,0.8484848484848485,0.8534201954397395,0.8529411764705882,0.3835616438356164,0.5283018867924528,0.3835616438356164,0.9812734082397003,0.506043044860963,5.079337651852627
CADD_phred,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
CLINSIG,307,33,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626413e-16
DANN_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Eigen-pred_coding,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
FATHMM_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
GERP++_RS,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
LINSIGHT,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
LRT_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
LoFtool,116,12,21,191,0.36363636363636365,0.3778501628664495,0.3764705882352941,0.059113300492610835,0.10169491525423728,0.059113300492610835,0.8467153284671532,-0.1560274598639732,21.536392114206564
M-CAP_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MANE,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MPC_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MVP_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MaxEntScan_alt,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MaxEntScan_diff,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MaxEntScan_ref,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MetaLR_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MetaSVM_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MutPred_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MutationTaster_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
MutationAssessor_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
PROVEAN_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
PolyPhen,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
REVEL_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
SIFT,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
TSL,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
VEST4_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
ada_score,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_3_prime_UTR_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_5_prime_UTR_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_TF_binding_site_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_downstream_gene_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_frameshift_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_inframe_deletion,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_inframe_insertion,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_intergenic_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_intron_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_missense_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_non_coding_transcript_exon_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_protein_altering_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_regulatory_region_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_splice_acceptor_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_splice_donor_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_splice_region_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_start_lost,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_stop_gained,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_stop_lost,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_stop_retained_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_synonymous_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
Consequence_upstream_gene_variant,307,0,33,0,0.0,1.0,0.9029411764705882,0.0,0.0,,0.9029411764705882,0.0,3.352293003035449
RandomForest,228,30,3,79,0.9090909090909091,0.742671009771987,0.7588235294117647,0.27522935779816515,0.4225352112676056,0.27522935779816515,0.987012987012987,0.413424205703079,8.330125978175476
SupportVectorMachine,228,30,3,79,0.9090909090909091,0.742671009771987,0.7588235294117647,0.27522935779816515,0.4225352112676056,0.27522935779816515,0.987012987012987,0.413424205703079,8.330125978175476
MultilayerPerceptron,269,22,11,38,0.6666666666666666,0.8762214983713354,0.8558823529411764,0.36666666666666664,0.47311827956989244,0.36666666666666664,0.9607142857142857,0.42158183607277105,4.977736553096974
