Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
APPRIS,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
BLOSUM62,220,6,76,2,0.07317073170731707,0.990990990990991,0.743421052631579,0.75,0.13333333333333333,0.75,0.7432432432432432,0.17789698197492584,8.86192815130886
CADD_PHRED,203,75,7,19,0.9146341463414634,0.9144144144144144,0.9144736842105263,0.7978723404255319,0.8522727272727272,0.7978723404255319,0.9666666666666667,0.7961406681432089,2.9540242717725382
CADD_RAW,203,75,7,19,0.9146341463414634,0.9144144144144144,0.9144736842105263,0.7978723404255319,0.8522727272727272,0.7978723404255319,0.9666666666666667,0.7961406681432089,2.9540242717725382
CADD_phred,218,38,44,4,0.4634146341463415,0.9819819819819819,0.8421052631578947,0.9047619047619048,0.6129032258064516,0.9047619047619048,0.8320610687022901,0.572868622867898,5.453501530741559
CLINSIG,222,82,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626415e-16
DANN_score,218,38,44,4,0.4634146341463415,0.9819819819819819,0.8421052631578947,0.9047619047619048,0.6129032258064516,0.9047619047619048,0.8320610687022901,0.572868622867898,5.453501530741559
Eigen-pred_coding,218,38,44,4,0.4634146341463415,0.9819819819819819,0.8421052631578947,0.9047619047619048,0.6129032258064516,0.9047619047619048,0.8320610687022901,0.572868622867898,5.453501530741559
FATHMM_score,1,78,4,221,0.9512195121951219,0.0045045045045045045,0.2598684210526316,0.2608695652173913,0.40944881889763773,0.2608695652173913,0.2,-0.1545009065577219,25.563820394365052
GERP++_RS,219,37,45,3,0.45121951219512196,0.9864864864864865,0.8421052631578947,0.925,0.6065573770491803,0.925,0.8295454545454546,0.5746904138164185,5.453498900486855
LINSIGHT,222,1,81,0,0.012195121951219513,1.0,0.7335526315789473,1.0,0.024096385542168676,1.0,0.7326732673267327,0.09452533970025159,9.202766078907121
LRT_score,219,21,61,3,0.25609756097560976,0.9864864864864865,0.7894736842105263,0.875,0.39622641509433965,0.875,0.7821428571428571,0.3992647918944524,7.271329237061101
LoFtool,109,40,42,113,0.4878048780487805,0.49099099099099097,0.4901315789473684,0.26143790849673204,0.34042553191489366,0.26143790849673204,0.7218543046357616,-0.018822170459173712,17.610528604344633
M-CAP_score,220,8,74,2,0.0975609756097561,0.990990990990991,0.75,0.8,0.1739130434782609,0.8,0.7482993197278912,0.22034741443401729,8.634699359237079
MANE,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
MPC_score,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
MVP_score,220,8,74,2,0.0975609756097561,0.990990990990991,0.75,0.8,0.1739130434782609,0.8,0.7482993197278912,0.22034741443401729,8.634699359237079
MaxEntScan_alt,222,11,71,0,0.13414634146341464,1.0,0.7664473684210527,1.0,0.23655913978494622,1.0,0.757679180887372,0.31881011608642174,8.066622118548219
MaxEntScan_diff,222,14,68,0,0.17073170731707318,1.0,0.7763157894736842,1.0,0.2916666666666667,1.0,0.7655172413793103,0.3615218743054778,7.725778930440548
MaxEntScan_ref,222,14,68,0,0.17073170731707318,1.0,0.7763157894736842,1.0,0.2916666666666667,1.0,0.7655172413793103,0.3615218743054778,7.725778930440548
MetaLR_score,220,8,74,2,0.0975609756097561,0.990990990990991,0.75,0.8,0.1739130434782609,0.8,0.7482993197278912,0.22034741443401729,8.634699359237079
MetaSVM_score,221,4,78,1,0.04878048780487805,0.9954954954954955,0.7401315789473685,0.8,0.09195402298850576,0.8,0.7391304347826086,0.1545009065577219,8.975539917090046
MutPred_score,222,4,78,0,0.04878048780487805,1.0,0.743421052631579,1.0,0.09302325581395349,1.0,0.74,0.18999358140634584,8.86192289079945
MutationTaster_score,218,38,44,4,0.4634146341463415,0.9819819819819819,0.8421052631578947,0.9047619047619048,0.6129032258064516,0.9047619047619048,0.8320610687022901,0.572868622867898,5.453501530741559
MutationAssessor_score,1,82,0,221,1.0,0.0045045045045045045,0.2730263157894737,0.2706270627062706,0.425974025974026,0.2706270627062706,1.0,0.03491476511450734,25.10936281022149
PROVEAN_score,2,76,6,220,0.926829268292683,0.009009009009009009,0.2565789473684211,0.25675675675675674,0.4021164021164021,0.25675675675675674,0.25,-0.17789698197492584,25.67743216014624
PolyPhen,221,8,74,1,0.0975609756097561,0.9954954954954955,0.7532894736842105,0.8888888888888888,0.17582417582417584,0.8888888888888888,0.7491525423728813,0.24366756865074246,8.521082332946484
REVEL_score,220,8,74,2,0.0975609756097561,0.990990990990991,0.75,0.8,0.1739130434782609,0.8,0.7482993197278912,0.22034741443401729,8.634699359237079
SIFT,221,3,79,1,0.036585365853658534,0.9954954954954955,0.7368421052631579,0.75,0.0697674418604651,0.75,0.7366666666666667,0.12495073371768689,9.089154313125936
TSL,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
VEST4_score,218,38,44,4,0.4634146341463415,0.9819819819819819,0.8421052631578947,0.9047619047619048,0.6129032258064516,0.9047619047619048,0.8320610687022901,0.572868622867898,5.453501530741559
ada_score,214,15,67,8,0.18292682926829268,0.963963963963964,0.7532894736842105,0.6521739130434783,0.28571428571428575,0.6521739130434783,0.7615658362989324,0.2465249682539717,8.521100744729418
Consequence_3_prime_UTR_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_5_prime_UTR_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_TF_binding_site_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_downstream_gene_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_frameshift_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_inframe_deletion,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_inframe_insertion,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_intergenic_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_intron_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_missense_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_non_coding_transcript_exon_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_protein_altering_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_regulatory_region_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_splice_acceptor_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
Consequence_splice_donor_variant,222,0,82,0,0.0,1.0,0.7302631578947368,0.0,0.0,,0.7302631578947368,0.0,9.316380474943012
