Name,TN,TP,FN,FP,Sensitivity,Specificity,Accuracy,Precision,F1-Score,PositivePredictiveValue,NegativePredictiveValue,MatthewsCorrelation,LogLoss
APPRIS,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
BLOSUM62,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
CADD_PHRED,1226,2,1,615,0.6666666666666666,0.665942422596415,0.665943600867679,0.0032414910858995136,0.006451612903225806,0.0032414910858995136,0.9991850040749797,0.028409053936400017,11.538165949937392
CADD_RAW,1245,2,1,596,0.6666666666666666,0.6762629005975014,0.6762472885032538,0.0033444816053511705,0.0066555740432612314,0.0033444816053511705,0.9991974317817014,0.0295245196039656,11.182280947847111
CADD_phred,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
CLINSIG,1841,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.992007221626413e-16
DANN_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
Eigen-pred_coding,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
FATHMM_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
GERP++_RS,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
LINSIGHT,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
LRT_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
LoFtool,613,1,2,1228,0.3333333333333333,0.3329712112982075,0.3329718004338395,0.0008136696501220504,0.0016233766233766233,0.0008136696501220504,0.9967479674796748,-0.028524912065175316,23.038870320707385
M-CAP_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MANE,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MPC_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MVP_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MaxEntScan_alt,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MaxEntScan_diff,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MaxEntScan_ref,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MetaLR_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MetaSVM_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
MutPred_score,1841,0,3,0,0.0,1.0,0.9983731019522777,0.0,0.0,,0.9983731019522777,0.0,0.05619106788759972
